DUE_TO,CREATED_DATE,REGION,TIER,PRIORITY,ESTIMATED_DURATION,MAXIMUM_WAITING_TIME,RESOURCE_REQUIREMENT
2025-03-31 22:00:00,2025-03-30 22:59:33,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-31 23:00:00,2025-03-30 23:31:04,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-31 16:00:00,2025-03-30 15:37:49,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-31 01:34:58,2025-03-30 22:34:58,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-03-31 13:00:00,2025-03-30 13:35:46,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-03-31 16:00:00,2025-03-30 16:58:53,sa-southeast-2,0,MEDIUM,2,-1,HIGH
2025-03-30 17:00:00,2025-03-30 16:59:14,sa-southeast-2,0,MEDIUM,2,-1,HIGH
2025-03-30 19:59:15,2025-03-30 16:59:15,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-03-30 19:00:00,2025-03-30 17:08:38,sa-southeast-2,50,HIGH,5,0,HIGH
2025-03-31 17:00:00,2025-03-30 21:23:38,sa-southeast-1,15,HIGH,15,0,HIGH
2025-03-30 12:49:30,2025-03-30 12:49:30,sa-southeast-1,0,LOW,10,-1,HIGH
2025-03-30 14:30:00,2025-03-30 14:30:04,sa-southeast-1,30,HIGH,15,0,HIGH
2025-03-31 14:00:00,2025-03-30 14:35:46,sa-southeast-1,15,MEDIUM,2,-1,HIGH
2025-03-31 16:00:00,2025-03-30 16:57:31,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-03-30 15:00:00,2025-03-30 12:50:42,sa-southeast-3,50,HIGH,5,0,MEDIUM
2025-03-30 19:00:00,2025-03-30 17:10:15,sa-southeast-3,50,HIGH,5,0,MEDIUM
2025-03-30 21:00:00,2025-03-30 19:27:40,sa-southeast-3,50,HIGH,5,0,MEDIUM
2025-03-31 12:00:00,2025-03-30 12:35:00,sa-southeast-1,15,MEDIUM,2,-1,HIGH
2025-03-30 20:22:00,2025-03-30 20:22:16,sa-unknown-1,30,HIGH,15,0,LOW
2025-03-31 20:00:00,2025-03-30 20:30:03,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-03-30 13:11:00,2025-03-30 13:10:57,sa-southeast-3,30,HIGH,15,0,MEDIUM
2025-03-31 13:00:00,2025-03-30 13:31:59,sa-southeast-3,15,MEDIUM,2,-1,MEDIUM
2025-04-03 12:00:00,2025-03-30 12:31:48,sa-southeast-1,15,MEDIUM,2,-1,HIGH
2025-03-30 13:35:00,2025-03-30 13:35:06,sa-southeast-1,30,HIGH,15,0,HIGH
2025-03-30 16:33:00,2025-03-30 16:33:49,sa-southeast-1,30,HIGH,15,0,HIGH
2025-04-01 13:00:00,2025-03-30 19:58:05,sa-southeast-2,15,MEDIUM,2,-1,HIGH
2025-03-31 20:30:00,2025-03-30 20:51:56,sa-southeast-1,15,HIGH,15,0,HIGH
2025-03-31 13:00:00,2025-03-30 13:25:31,sa-southeast-1,15,MEDIUM,2,-1,HIGH
2025-03-31 18:00:00,2025-03-30 18:48:57,sa-unknown-1,15,HIGH,15,0,LOW
2025-03-30 22:00:01,2025-03-30 00:31:09,sa-southeast-2,15,HIGH,15,0,HIGH
2025-03-30 16:05:57,2025-03-30 16:05:57,sa-southeast-1,30,HIGH,15,0,HIGH
2025-03-30 18:30:00,2025-03-30 18:07:14,sa-southeast-1,15,HIGH,15,0,HIGH
2025-03-31 22:00:01,2025-03-30 11:16:13,sa-southeast-4,15,HIGH,15,0,MEDIUM
2025-03-30 00:00:03,2025-03-30 00:00:03,sa-southeast-3,10,HIGH,10,-1,MEDIUM
2025-03-30 00:00:46,2025-03-30 00:00:46,sa-southeast-1,10,HIGH,10,-1,HIGH
2025-03-30 14:42:01,2025-03-30 14:42:01,sa-southeast-1,30,HIGH,15,0,HIGH
2025-03-30 00:02:56,2025-03-30 00:02:56,sa-southeast-1,10,HIGH,10,-1,HIGH
