DUE_TO,CREATED_DATE,REGION,TIER,PRIORITY,ESTIMATED_DURATION,MAXIMUM_WAITING_TIME,RESOURCE_REQUIREMENT
2024-09-29 19:16:00,2024-09-29 19:16:51,sa-unknown-1,30,HIGH,15,0,LOW
2024-09-30 22:00:00,2024-09-29 19:36:38,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-29 15:54:48,2024-09-29 15:54:48,sa-unknown-1,0,LOW,10,-1,LOW
2024-09-30 17:00:00,2024-09-29 16:22:04,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-09-30 18:00:00,2024-09-29 18:24:46,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 16:00:00,2024-09-29 16:46:42,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 18:00:00,2024-09-29 18:25:21,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 21:00:00,2024-09-29 21:11:12,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-30 18:00:00,2024-09-29 18:12:49,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 16:00:00,2024-09-29 16:50:09,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 17:00:00,2024-09-29 17:05:54,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-09-29 19:18:43,2024-09-29 13:18:43,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-30 17:00:00,2024-09-29 17:33:14,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-07 14:00:00,2024-09-29 17:43:21,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-30 16:00:00,2024-09-29 16:47:31,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 18:00:00,2024-09-29 18:29:24,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 19:00:00,2024-09-29 19:04:27,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-09-30 18:00:00,2024-09-29 18:21:54,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 18:00:00,2024-09-29 18:15:36,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 18:00:00,2024-09-29 18:22:42,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 17:00:00,2024-09-29 17:15:06,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 17:00:00,2024-09-29 17:12:13,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-29 18:24:25,2024-09-29 16:24:25,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-30 15:00:00,2024-09-29 15:49:08,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-30 16:00:00,2024-09-29 16:48:19,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 18:00:00,2024-09-29 18:27:44,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 17:00:00,2024-09-29 14:46:09,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-30 18:00:00,2024-09-29 18:19:55,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 16:00:00,2024-09-29 16:49:06,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 18:00:00,2024-09-29 18:30:03,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 13:00:00,2024-09-29 13:17:39,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-30 20:00:00,2024-09-29 20:43:58,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-30 18:00:00,2024-09-29 18:14:18,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 13:00:00,2024-09-29 13:43:49,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-30 16:00:00,2024-09-29 16:56:07,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 17:00:00,2024-09-29 17:15:57,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 17:00:00,2024-09-29 17:18:31,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-30 12:00:00,2024-09-29 12:28:14,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-09-29 20:40:44,2024-09-29 14:40:45,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-29 20:41:08,2024-09-29 14:41:08,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-29 20:41:39,2024-09-29 14:41:40,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-29 20:42:08,2024-09-29 14:42:09,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-29 20:43:19,2024-09-29 14:43:20,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-30 17:00:00,2024-09-29 19:29:29,sa-unknown-1,15,HIGH,15,0,LOW
2024-09-29 20:43:48,2024-09-29 14:43:49,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-29 20:44:19,2024-09-29 14:44:20,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-30 20:44:00,2024-09-29 14:44:57,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-29 20:45:26,2024-09-29 14:45:26,sa-unknown-1,0,LOW,-1,-1,LOW
2024-09-29 20:45:56,2024-09-29 14:45:57,sa-unknown-1,0,LOW,-1,-1,LOW
