DUE_TO,CREATED_DATE,REGION,TIER,PRIORITY,ESTIMATED_DURATION,MAXIMUM_WAITING_TIME,RESOURCE_REQUIREMENT
2024-05-20 18:00:00,2024-05-15 18:39:34,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 20:00:00,2024-05-15 20:37:44,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-18 12:00:00,2024-05-15 16:28:24,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-17 23:00:00,2024-05-15 23:26:22,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 13:00:00,2024-05-15 20:36:19,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 12:00:00,2024-05-15 12:17:06,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-15 17:00:00,2024-05-15 13:32:28,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 12:00:00,2024-05-15 18:56:13,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-22 18:00:00,2024-05-15 18:08:34,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-15 16:00:00,2024-05-15 12:12:16,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 15:00:00,2024-05-15 18:17:33,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-18 12:00:00,2024-05-15 13:22:55,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-15 17:46:12,2024-05-15 15:46:12,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 23:00:00,2024-05-15 23:03:35,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-16 18:30:00,2024-05-15 15:30:34,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 18:00:00,2024-05-15 18:22:11,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 19:00:00,2024-05-15 19:59:40,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-20 14:00:00,2024-05-15 14:09:28,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 19:00:00,2024-05-15 19:55:00,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-16 13:00:00,2024-05-15 13:32:01,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-15 20:30:00,2024-05-15 17:18:26,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-15 23:52:51,2024-05-15 20:52:51,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 22:00:00,2024-05-15 22:50:39,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-16 14:00:00,2024-05-15 20:19:28,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 22:00:00,2024-05-15 22:09:04,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-15 14:56:12,2024-05-15 11:56:12,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 21:00:00,2024-05-15 21:39:41,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 21:00:00,2024-05-15 21:03:52,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-16 12:00:00,2024-05-15 20:50:24,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 13:00:00,2024-05-15 18:12:16,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 18:00:00,2024-05-15 18:06:35,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 17:00:00,2024-05-15 17:47:46,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 14:00:00,2024-05-15 17:54:20,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-15 20:00:00,2024-05-15 17:54:31,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-16 13:00:00,2024-05-15 17:54:43,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-16 23:00:00,2024-05-15 23:33:50,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-16 14:00:00,2024-05-15 14:30:05,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 13:00:00,2024-05-15 17:36:33,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-15 22:00:00,2024-05-15 17:39:05,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-16 13:00:00,2024-05-15 23:16:35,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-16 15:00:00,2024-05-15 15:17:53,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 22:00:00,2024-05-15 22:59:59,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-16 23:00:00,2024-05-15 23:07:27,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-15 13:00:00,2024-05-15 12:28:41,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-15 17:00:00,2024-05-15 12:48:02,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-17 16:00:00,2024-05-15 20:32:15,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 12:00:00,2024-05-15 20:33:13,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 18:00:00,2024-05-15 18:17:26,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-15 18:00:00,2024-05-15 17:38:48,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 12:00:00,2024-05-15 17:39:06,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 12:00:00,2024-05-15 18:24:46,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 21:00:00,2024-05-15 21:23:35,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 20:00:00,2024-05-15 20:32:30,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 21:00:00,2024-05-15 21:40:46,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-15 19:00:00,2024-05-15 17:30:28,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-16 22:00:00,2024-05-15 22:36:42,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-16 00:00:00,2024-05-15 21:11:10,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 22:00:00,2024-05-15 22:19:02,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-17 23:00:00,2024-05-15 23:29:48,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 17:00:00,2024-05-15 17:56:52,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 18:00:00,2024-05-15 18:02:06,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-16 21:00:00,2024-05-15 21:22:11,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-16 18:00:00,2024-05-15 18:11:24,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-16 14:00:00,2024-05-15 14:34:52,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-16 19:00:00,2024-05-15 19:50:34,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 20:00:00,2024-05-15 20:22:41,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-16 13:00:00,2024-05-15 13:16:35,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 18:00:00,2024-05-15 18:12:44,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-16 22:00:00,2024-05-15 22:35:39,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-16 11:00:00,2024-05-15 11:52:46,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-16 14:00:00,2024-05-15 14:32:31,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-05-16 19:00:00,2024-05-15 19:49:54,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-16 17:00:00,2024-05-15 17:27:45,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-22 15:00:00,2024-05-15 17:50:50,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-20 17:00:00,2024-05-15 17:50:59,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-21 19:00:00,2024-05-15 17:51:05,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-17 22:00:00,2024-05-15 22:17:59,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-16 22:00:00,2024-05-15 22:24:37,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-15 20:00:00,2024-05-15 18:06:22,sa-unknown-1,50,HIGH,5,0,LOW
