DUE_TO,CREATED_DATE,REGION,TIER,PRIORITY,ESTIMATED_DURATION,MAXIMUM_WAITING_TIME,RESOURCE_REQUIREMENT
2025-03-21 03:00:00,2025-03-21 03:21:33,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-22 23:00:00,2025-03-21 23:45:08,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-31 23:00:00,2025-03-21 23:58:12,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-31 15:00:00,2025-03-21 15:44:48,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-25 23:00:00,2025-03-21 23:55:23,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-22 23:00:00,2025-03-21 23:46:47,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-24 23:00:00,2025-03-21 23:51:16,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-22 16:00:00,2025-03-21 16:21:57,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-25 23:00:00,2025-03-21 23:42:04,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-22 01:00:00,2025-03-21 01:03:14,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-22 03:00:00,2025-03-21 03:01:04,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-22 23:00:00,2025-03-21 23:03:19,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-24 23:00:00,2025-03-21 23:48:58,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-24 22:00:00,2025-03-21 22:51:08,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-24 18:00:00,2025-03-21 18:07:05,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-24 18:00:00,2025-03-21 19:00:00,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-21 17:00:00,2025-03-21 01:01:52,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-21 06:11:57,2025-03-21 03:11:57,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-21 16:00:00,2025-03-21 19:05:50,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-21 22:17:42,2025-03-21 19:17:42,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-21 13:00:00,2025-03-21 19:17:57,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-24 20:00:00,2025-03-21 20:44:44,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-21 22:36:07,2025-03-21 20:36:07,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-22 00:09:09,2025-03-21 21:09:09,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-22 17:00:00,2025-03-21 21:40:53,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-22 15:00:00,2025-03-21 21:45:40,sa-unknown-1,50,HIGH,5,0,LOW
2025-03-22 23:00:00,2025-03-21 23:53:05,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-21 17:00:00,2025-03-21 00:47:47,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-22 14:00:00,2025-03-21 14:10:08,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-24 19:00:37,2025-03-21 15:29:50,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-23 15:00:00,2025-03-21 15:30:02,sa-unknown-1,50,HIGH,5,0,LOW
2025-03-25 03:00:00,2025-03-21 03:00:32,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-21 22:00:00,2025-03-21 19:03:28,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-03-22 18:39:00,2025-03-21 18:39:25,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-03-26 20:00:00,2025-03-21 20:38:46,sa-unknown-1,0,LOW,-1,-1,LOW
