DUE_TO,CREATED_DATE,REGION,TIER,PRIORITY,ESTIMATED_DURATION,MAXIMUM_WAITING_TIME,RESOURCE_REQUIREMENT
2025-03-18 23:00:00,2025-03-16 18:33:40,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-17 19:00:00,2025-03-16 19:41:41,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-17 20:00:00,2025-03-16 20:01:36,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-19 01:00:00,2025-03-16 18:45:51,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-16 05:12:41,2025-03-16 02:12:41,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-18 18:00:00,2025-03-16 18:01:14,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-03-17 15:00:00,2025-03-16 15:11:17,sa-southeast-3,0,LOW,-1,-1,MEDIUM
2025-03-18 02:00:00,2025-03-16 02:09:20,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-03-17 17:00:00,2025-03-16 17:46:00,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-03-18 17:00:00,2025-03-16 17:57:52,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-03-18 23:00:00,2025-03-16 18:49:00,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-17 15:00:00,2025-03-16 15:05:45,sa-southeast-3,15,MEDIUM,2,-1,MEDIUM
2025-03-17 15:00:00,2025-03-16 15:07:51,sa-southeast-1,15,MEDIUM,2,-1,HIGH
2025-03-16 19:10:51,2025-03-16 17:10:51,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-03-17 13:00:00,2025-03-16 13:00:23,sa-southeast-1,0,MEDIUM,2,-1,HIGH
2025-03-17 12:00:00,2025-03-16 12:52:42,sa-southeast-2,15,MEDIUM,2,-1,HIGH
2025-03-17 12:00:00,2025-03-16 20:38:03,sa-southeast-2,15,HIGH,15,0,HIGH
2025-03-17 15:00:00,2025-03-16 15:09:19,sa-southeast-1,15,MEDIUM,2,-1,HIGH
2025-03-17 15:00:00,2025-03-16 15:09:52,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-03-17 15:00:00,2025-03-16 15:08:46,sa-southeast-2,15,MEDIUM,2,-1,HIGH
2025-03-17 15:00:00,2025-03-16 15:05:06,sa-southeast-1,15,MEDIUM,2,-1,HIGH
2025-03-16 19:41:30,2025-03-16 16:41:30,sa-unknown-1,0,LOW,-1,-1,LOW
2025-03-17 15:00:00,2025-03-16 13:22:41,sa-southeast-1,15,MEDIUM,2,-1,HIGH
2025-03-17 19:00:00,2025-03-16 19:00:34,sa-southeast-3,15,MEDIUM,2,-1,MEDIUM
2025-03-20 17:00:00,2025-03-16 17:38:49,sa-southeast-2,15,HIGH,15,0,HIGH
2025-03-18 12:00:00,2025-03-16 14:29:18,sa-southeast-1,15,HIGH,15,0,HIGH
2025-03-17 17:00:00,2025-03-16 15:58:06,sa-southeast-1,15,MEDIUM,2,-1,HIGH
2025-03-17 12:00:00,2025-03-16 12:49:41,sa-southeast-1,15,MEDIUM,2,-1,HIGH
2025-03-16 17:03:27,2025-03-16 15:03:27,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-03-16 19:45:30,2025-03-16 16:45:30,sa-southeast-1,0,LOW,-1,-1,HIGH
