DUE_TO,CREATED_DATE,REGION,TIER,PRIORITY,ESTIMATED_DURATION,MAXIMUM_WAITING_TIME,RESOURCE_REQUIREMENT
2025-01-21 18:00:00,2025-01-20 18:15:08,sa-unknown-1,0,MEDIUM,2,-1,LOW
2025-01-21 12:00:00,2025-01-20 12:28:55,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-24 17:00:00,2025-01-20 20:46:11,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-23 16:00:00,2025-01-20 16:51:10,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-22 17:00:00,2025-01-20 17:18:58,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-21 12:00:00,2025-01-20 12:23:13,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-23 17:00:00,2025-01-20 17:04:14,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-21 17:00:00,2025-01-20 17:48:05,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-01 13:00:00,2025-01-20 13:46:51,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-22 13:00:00,2025-01-20 13:43:54,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-23 16:00:00,2025-01-20 16:22:19,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-21 20:00:00,2025-01-20 20:33:30,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-01-21 13:00:00,2025-01-20 13:45:45,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-20 12:00:00,2025-01-20 17:25:42,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-22 13:00:00,2025-01-20 23:14:21,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-25 14:00:00,2025-01-20 17:33:50,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-24 16:00:00,2025-01-20 18:44:25,sa-unknown-1,50,HIGH,5,0,LOW
2025-01-25 12:00:00,2025-01-20 18:44:47,sa-unknown-1,50,HIGH,5,0,LOW
2025-01-21 13:00:00,2025-01-20 13:50:55,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-26 22:00:00,2025-01-20 22:06:56,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-22 13:00:00,2025-01-20 13:42:28,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-22 13:00:00,2025-01-20 13:39:42,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-21 12:00:00,2025-01-20 12:50:22,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-20 15:15:00,2025-01-20 13:30:33,sa-unknown-1,50,HIGH,5,0,LOW
