DUE_TO,CREATED_DATE,REGION,TIER,PRIORITY,ESTIMATED_DURATION,MAXIMUM_WAITING_TIME,RESOURCE_REQUIREMENT
2024-08-08 12:00:00,2024-08-06 13:25:25,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-07 12:00:00,2024-08-06 19:58:07,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-16 13:00:00,2024-08-06 13:20:30,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-07 20:00:00,2024-08-06 20:51:13,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-07 18:00:00,2024-08-06 18:05:36,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-07 22:00:00,2024-08-06 22:14:28,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-10 21:00:00,2024-08-06 21:14:54,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-13 13:00:00,2024-08-06 21:13:04,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-07 12:00:00,2024-08-06 12:51:09,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-07 17:00:00,2024-08-06 19:51:57,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-07 14:00:00,2024-08-06 14:00:14,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-08-06 17:00:00,2024-08-06 12:27:08,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-07 17:00:00,2024-08-06 20:07:15,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-07 11:00:00,2024-08-06 11:56:10,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-07 11:00:00,2024-08-06 11:34:16,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-08 12:00:00,2024-08-06 14:12:15,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-06 23:00:00,2024-08-06 22:10:14,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-07 23:00:00,2024-08-06 23:40:01,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-13 19:00:00,2024-08-06 19:27:07,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-07 21:00:00,2024-08-06 21:38:27,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-07 17:00:00,2024-08-06 17:25:13,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-09 20:00:00,2024-08-06 20:57:40,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-07 20:00:00,2024-08-06 20:56:04,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-08 12:00:00,2024-08-06 14:22:31,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-07 11:00:00,2024-08-06 11:53:06,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-08 14:00:00,2024-08-06 18:13:14,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-07 16:00:00,2024-08-06 18:13:58,sa-unknown-1,50,HIGH,5,0,LOW
2024-08-06 14:34:52,2024-08-06 12:34:52,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-06 15:35:11,2024-08-06 13:35:11,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-06 17:20:45,2024-08-06 14:20:45,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-06 17:48:42,2024-08-06 14:48:42,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-07 19:00:00,2024-08-06 19:02:22,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-12 13:00:00,2024-08-06 20:48:33,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-09 15:00:00,2024-08-06 20:48:44,sa-unknown-1,50,HIGH,5,0,LOW
2024-08-11 15:00:00,2024-08-06 20:48:51,sa-unknown-1,50,HIGH,5,0,LOW
2024-08-07 19:00:00,2024-08-06 19:41:15,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-06 18:00:00,2024-08-06 16:22:55,sa-unknown-1,50,HIGH,5,0,LOW
2024-08-07 20:00:00,2024-08-06 18:14:29,sa-unknown-1,50,HIGH,5,0,LOW
2024-08-07 11:00:00,2024-08-06 11:55:07,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-07 15:00:00,2024-08-06 15:08:27,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-07 18:00:00,2024-08-06 14:21:40,sa-unknown-1,15,HIGH,15,0,LOW
2024-08-07 22:00:00,2024-08-06 22:28:45,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-06 16:00:00,2024-08-06 14:59:58,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-07 12:00:00,2024-08-06 15:19:24,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-08-06 22:00:00,2024-08-06 20:39:35,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-06 12:00:00,2024-08-06 11:57:48,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-07 17:00:00,2024-08-06 12:40:18,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-07 13:00:00,2024-08-06 13:23:58,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-07 12:00:00,2024-08-06 15:53:49,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-07 15:00:00,2024-08-06 15:07:22,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-06 17:00:00,2024-08-06 15:40:51,sa-unknown-1,50,HIGH,5,0,LOW
2024-08-07 00:47:06,2024-08-06 21:47:06,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-07 21:00:00,2024-08-06 21:41:36,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-06 17:00:00,2024-08-06 15:33:29,sa-unknown-1,50,HIGH,5,0,LOW
2024-08-07 01:09:00,2024-08-06 22:09:00,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-07 18:00:00,2024-08-06 19:10:12,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-08-06 20:15:00,2024-08-06 19:25:46,sa-unknown-1,15,HIGH,15,0,LOW
2024-08-08 21:00:00,2024-08-06 21:20:10,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-06 03:01:20,2024-08-06 00:01:20,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-06 17:40:02,2024-08-06 14:40:02,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-17 12:00:00,2024-08-06 16:38:16,sa-unknown-1,0,LOW,-1,-1,LOW
2024-08-09 16:00:00,2024-08-06 16:38:26,sa-unknown-1,50,HIGH,5,0,LOW
2024-08-08 16:00:00,2024-08-06 16:46:37,sa-unknown-1,50,HIGH,5,0,LOW
