DUE_TO,CREATED_DATE,REGION,TIER,PRIORITY,ESTIMATED_DURATION,MAXIMUM_WAITING_TIME,RESOURCE_REQUIREMENT
2025-04-30 21:00:00,2025-04-30 19:31:49,sa-unknown-1,15,HIGH,15,0,LOW
2025-05-01 20:00:00,2025-04-30 20:38:56,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-05-02 12:00:12,2025-04-30 17:22:04,sa-unknown-1,0,LOW,-1,-1,LOW
2025-05-01 17:00:00,2025-04-30 17:22:17,sa-unknown-1,0,LOW,-1,-1,LOW
2025-05-01 13:00:00,2025-04-30 17:22:38,sa-unknown-1,50,HIGH,5,0,LOW
2025-04-30 16:00:00,2025-04-30 17:22:50,sa-unknown-1,0,MEDIUM,2,-1,LOW
2025-04-30 19:29:03,2025-04-30 19:29:03,sa-southeast-2,30,HIGH,15,0,HIGH
2025-05-07 00:00:00,2025-04-30 00:10:04,sa-unknown-1,0,LOW,-1,-1,LOW
2025-05-01 00:00:00,2025-04-30 00:18:15,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-05-05 21:00:00,2025-04-30 21:48:39,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-05-02 22:00:00,2025-04-30 22:05:15,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-04-30 20:10:21,2025-04-30 20:10:22,sa-southeast-1,30,HIGH,15,0,HIGH
2025-05-05 19:00:00,2025-04-30 19:10:54,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-05-01 17:00:00,2025-04-30 17:43:19,sa-southeast-1,15,MEDIUM,2,-1,HIGH
2025-05-01 00:00:00,2025-04-30 00:54:13,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-05-01 00:00:00,2025-04-30 00:19:58,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-04-30 15:00:00,2025-04-30 13:09:50,sa-unknown-1,50,HIGH,5,0,LOW
2025-04-30 17:50:08,2025-04-30 14:50:08,sa-unknown-1,0,LOW,-1,-1,LOW
2025-05-01 19:00:00,2025-04-30 19:46:49,sa-unknown-1,0,LOW,-1,-1,LOW
2025-05-01 00:00:00,2025-04-30 00:46:20,sa-southeast-1,15,MEDIUM,2,-1,HIGH
2025-04-30 20:38:23,2025-04-30 18:38:23,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-30 21:55:17,2025-04-30 18:55:17,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-30 22:00:00,2025-04-30 20:26:44,sa-unknown-1,0,LOW,-1,-1,LOW
2025-05-01 20:00:00,2025-04-30 20:57:53,sa-unknown-1,0,LOW,-1,-1,LOW
2025-05-03 23:00:00,2025-04-30 16:26:30,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-05-07 21:00:00,2025-04-30 21:53:48,sa-unknown-1,0,LOW,-1,-1,LOW
2025-05-02 21:00:00,2025-04-30 15:40:31,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-05-01 23:00:00,2025-04-30 23:38:03,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-05-02 16:00:00,2025-04-30 16:45:09,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-05-05 20:00:00,2025-04-30 20:29:55,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-05-01 00:00:00,2025-04-30 00:08:48,sa-southeast-1,15,MEDIUM,2,-1,HIGH
2025-05-01 00:00:00,2025-04-30 00:40:13,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-05-05 22:00:00,2025-04-30 22:03:38,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-05-01 17:00:00,2025-04-30 17:39:16,sa-southeast-3,15,MEDIUM,2,-1,MEDIUM
2025-05-01 19:00:00,2025-04-30 19:30:25,sa-southeast-1,15,MEDIUM,2,-1,HIGH
2025-05-01 00:00:00,2025-04-30 00:53:44,sa-southeast-1,0,LOW,-1,-1,HIGH
