DUE_TO,CREATED_DATE,REGION,TIER,PRIORITY,ESTIMATED_DURATION,MAXIMUM_WAITING_TIME,RESOURCE_REQUIREMENT
2025-05-20 05:00:00,2025-05-18 05:33:04,sa-unknown-1,0,LOW,-1,-1,LOW
2025-05-18 13:30:00,2025-05-18 12:41:08,sa-unknown-1,50,HIGH,5,0,LOW
2025-05-25 16:00:00,2025-05-18 16:29:54,sa-unknown-1,0,LOW,-1,-1,LOW
2025-05-25 16:00:00,2025-05-18 16:59:21,sa-unknown-1,0,LOW,-1,-1,LOW
2025-05-20 23:00:00,2025-05-18 15:25:24,sa-unknown-1,0,LOW,-1,-1,LOW
2025-05-25 17:00:00,2025-05-18 17:02:44,sa-unknown-1,0,LOW,-1,-1,LOW
2025-05-19 04:00:00,2025-05-18 04:56:33,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-05-25 16:00:00,2025-05-18 16:59:46,sa-southeast-3,0,LOW,-1,-1,MEDIUM
2025-05-18 20:00:00,2025-05-18 16:12:01,sa-southeast-2,50,HIGH,5,0,HIGH
2025-05-18 23:23:16,2025-05-18 20:23:16,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-05-25 16:00:00,2025-05-18 16:58:41,sa-southeast-3,0,LOW,-1,-1,MEDIUM
2025-05-25 16:00:00,2025-05-18 16:57:03,sa-southeast-3,0,LOW,-1,-1,MEDIUM
2025-05-19 04:00:00,2025-05-18 04:52:25,sa-unknown-1,0,LOW,-1,-1,LOW
2025-05-19 04:00:00,2025-05-18 04:42:34,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-05-19 18:00:00,2025-05-18 18:09:02,sa-southeast-3,0,LOW,-1,-1,MEDIUM
2025-05-19 04:00:00,2025-05-18 04:54:31,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-05-19 04:00:00,2025-05-18 04:46:02,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-05-19 15:00:00,2025-05-18 15:18:15,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-05-25 16:00:00,2025-05-18 16:57:29,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-05-18 14:00:00,2025-05-18 12:42:51,sa-southeast-2,50,HIGH,5,0,HIGH
