DUE_TO,CREATED_DATE,REGION,TIER,PRIORITY,ESTIMATED_DURATION,MAXIMUM_WAITING_TIME,RESOURCE_REQUIREMENT
2025-02-17 13:00:00,2025-02-15 13:58:28,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-17 14:00:00,2025-02-15 14:34:17,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 15:00:00,2025-02-15 13:25:33,sa-unknown-1,50,HIGH,5,0,LOW
2025-02-15 13:30:00,2025-02-15 13:29:16,sa-unknown-1,50,HIGH,5,0,LOW
2025-02-17 18:00:00,2025-02-15 18:49:23,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-17 13:00:00,2025-02-15 13:56:46,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 17:21:00,2025-02-15 14:21:04,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 15:15:00,2025-02-15 13:16:34,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-17 17:00:00,2025-02-15 17:19:24,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 14:39:17,2025-02-15 11:39:17,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-17 13:00:00,2025-02-15 13:12:18,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 15:52:01,2025-02-15 15:52:01,sa-unknown-1,0,LOW,10,-1,LOW
2025-02-17 14:00:00,2025-02-15 14:24:55,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 13:00:00,2025-02-15 13:53:58,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-02-17 17:00:00,2025-02-15 17:36:24,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-17 20:00:00,2025-02-15 20:33:47,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 16:09:00,2025-02-15 16:09:46,sa-unknown-1,30,HIGH,15,0,LOW
2025-02-16 16:00:00,2025-02-15 16:23:19,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 15:00:00,2025-02-15 13:11:34,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 22:35:01,2025-02-15 19:35:01,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-17 10:00:00,2025-02-15 10:08:38,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 16:03:00,2025-02-15 13:03:27,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 20:00:00,2025-02-15 17:54:35,sa-unknown-1,50,HIGH,5,0,LOW
2025-02-15 14:00:00,2025-02-15 13:01:33,sa-unknown-1,0,MEDIUM,2,-1,LOW
2025-02-15 16:03:41,2025-02-15 13:03:41,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 13:30:00,2025-02-15 13:28:43,sa-unknown-1,50,HIGH,5,0,LOW
2025-02-17 18:00:00,2025-02-15 18:34:25,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-17 18:00:00,2025-02-15 18:35:16,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 20:00:00,2025-02-15 17:56:27,sa-unknown-1,50,HIGH,5,0,LOW
2025-02-17 21:00:00,2025-02-15 21:09:46,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-17 15:00:00,2025-02-15 15:30:50,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-17 18:00:00,2025-02-15 18:27:36,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 17:30:00,2025-02-15 17:30:15,sa-unknown-1,30,HIGH,15,0,LOW
2025-02-15 20:32:31,2025-02-15 17:32:31,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 20:46:30,2025-02-15 18:46:30,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 21:54:00,2025-02-15 18:54:40,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 17:11:00,2025-02-15 17:11:56,sa-unknown-1,30,HIGH,15,0,LOW
2025-02-15 17:32:00,2025-02-15 17:32:08,sa-unknown-1,30,HIGH,15,0,LOW
2025-02-15 06:36:27,2025-02-15 00:36:27,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 06:36:32,2025-02-15 00:36:32,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 12:22:59,2025-02-15 12:22:59,sa-unknown-1,0,LOW,10,-1,LOW
2025-02-15 18:48:40,2025-02-15 16:48:40,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 20:22:13,2025-02-15 17:22:13,sa-unknown-1,0,LOW,-1,-1,LOW
2025-02-15 14:48:00,2025-02-15 14:48:24,sa-unknown-1,30,HIGH,15,0,LOW
2025-02-15 15:02:15,2025-02-15 13:02:15,sa-unknown-1,0,LOW,-1,-1,LOW
