DUE_TO,CREATED_DATE,REGION,TIER,PRIORITY,ESTIMATED_DURATION,MAXIMUM_WAITING_TIME,RESOURCE_REQUIREMENT
2024-05-29 16:00:00,2024-05-28 16:24:08,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 18:00:00,2024-05-28 17:25:32,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 20:00:00,2024-05-28 20:31:11,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-30 19:00:00,2024-05-28 15:11:47,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 16:00:00,2024-05-28 16:55:10,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 19:00:00,2024-05-28 19:11:51,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 17:00:00,2024-05-28 14:59:20,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 15:00:00,2024-05-28 15:10:34,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 11:00:00,2024-05-28 11:24:36,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-28 14:00:37,2024-05-28 14:00:37,sa-unknown-1,0,LOW,10,-1,LOW
2024-05-29 17:00:00,2024-05-28 17:51:29,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-28 16:02:09,2024-05-28 13:02:09,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-28 21:00:00,2024-05-28 18:00:27,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 22:00:00,2024-05-28 22:58:11,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 17:00:00,2024-05-28 17:58:24,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-30 13:00:00,2024-05-28 13:14:16,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-30 13:00:00,2024-05-28 13:09:27,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 12:00:00,2024-05-28 12:32:27,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-28 20:00:00,2024-05-28 18:41:51,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-28 20:00:00,2024-05-28 18:42:12,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 18:00:00,2024-05-28 18:43:22,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-28 19:00:00,2024-05-28 14:27:25,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 13:00:00,2024-05-28 13:20:07,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-30 15:00:00,2024-05-28 15:40:08,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 13:00:00,2024-05-28 13:17:31,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 18:00:00,2024-05-28 18:09:51,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-05-29 15:00:00,2024-05-28 15:40:58,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 12:00:00,2024-05-28 12:30:58,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 14:00:00,2024-05-28 14:18:44,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-28 19:30:00,2024-05-28 14:19:08,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-29 12:00:00,2024-05-28 14:19:22,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-28 21:00:00,2024-05-28 19:29:04,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-28 20:00:00,2024-05-28 18:18:08,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-30 00:57:00,2024-05-28 21:57:08,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 03:19:00,2024-05-28 00:19:26,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 11:00:00,2024-05-28 11:25:37,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 18:00:00,2024-05-28 18:07:16,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 22:00:00,2024-05-28 22:19:04,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 12:00:00,2024-05-28 12:08:32,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-06-01 13:00:00,2024-05-28 13:22:09,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-05 12:00:00,2024-05-28 12:18:51,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 23:00:00,2024-05-28 23:58:09,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-28 18:00:00,2024-05-28 00:22:29,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-28 15:15:00,2024-05-28 00:27:26,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-26 19:00:00,2024-05-28 18:28:42,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 19:00:00,2024-05-28 17:19:45,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 01:37:00,2024-05-28 22:37:05,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-28 22:00:00,2024-05-28 13:21:01,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 18:00:00,2024-05-28 18:17:48,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 19:00:00,2024-05-28 23:18:11,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 18:00:00,2024-05-28 15:09:49,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 19:00:00,2024-05-28 19:04:27,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 17:00:00,2024-05-28 17:58:06,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 22:00:00,2024-05-28 22:49:19,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-28 15:17:11,2024-05-28 15:17:11,sa-unknown-1,0,LOW,10,-1,LOW
2024-05-29 21:00:00,2024-05-28 21:47:12,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-30 15:00:00,2024-05-28 15:16:14,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 12:00:00,2024-05-28 12:15:47,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 20:00:00,2024-05-28 20:30:07,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-28 18:00:00,2024-05-28 19:41:09,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 18:00:00,2024-05-28 19:43:10,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 17:00:00,2024-05-28 19:38:10,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 12:00:00,2024-05-28 12:27:25,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 17:00:00,2024-05-28 17:13:24,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 12:00:00,2024-05-28 16:28:56,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 16:00:00,2024-05-28 16:01:11,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-30 15:00:00,2024-05-28 16:28:50,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 11:00:00,2024-05-28 11:23:00,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-28 18:30:47,2024-05-28 15:30:47,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 17:00:00,2024-05-28 17:42:06,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 11:00:00,2024-05-28 11:27:31,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 16:00:00,2024-05-28 16:53:22,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 17:00:00,2024-05-28 17:14:17,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 17:00:00,2024-05-28 17:04:49,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 18:00:00,2024-05-28 18:03:32,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 18:00:00,2024-05-28 18:01:10,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-30 21:30:00,2024-05-28 22:10:18,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 14:15:00,2024-05-28 22:10:30,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-30 16:20:00,2024-05-28 22:10:41,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-29 15:00:00,2024-05-28 15:26:04,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-28 21:00:00,2024-05-28 15:47:47,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-28 18:00:00,2024-05-28 15:48:04,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-28 20:00:00,2024-05-28 18:59:27,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-29 22:00:00,2024-05-28 22:44:13,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 17:00:00,2024-05-28 17:25:27,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-30 14:00:00,2024-05-28 14:52:02,sa-unknown-1,15,HIGH,15,0,LOW
2024-05-29 16:00:00,2024-05-28 16:26:15,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-29 00:00:00,2024-05-28 00:03:23,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-28 15:15:00,2024-05-28 14:47:47,sa-unknown-1,15,HIGH,15,0,LOW
2024-05-29 20:00:00,2024-05-28 20:32:18,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-28 18:00:00,2024-05-28 00:59:10,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 14:00:00,2024-05-28 18:37:13,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 18:00:00,2024-05-28 18:37:46,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-30 18:00:00,2024-05-28 18:38:20,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 12:00:00,2024-05-28 18:38:37,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-29 17:00:00,2024-05-28 17:15:57,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-29 15:00:00,2024-05-28 15:32:26,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-28 20:00:00,2024-05-28 16:41:12,sa-unknown-1,15,HIGH,15,0,LOW
2024-05-28 21:00:00,2024-05-28 20:21:20,sa-unknown-1,15,HIGH,15,0,LOW
2024-05-29 21:00:00,2024-05-28 21:23:06,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-03 11:00:00,2024-05-28 11:57:37,sa-unknown-1,0,MEDIUM,2,-1,LOW
