DUE_TO,CREATED_DATE,REGION,TIER,PRIORITY,ESTIMATED_DURATION,MAXIMUM_WAITING_TIME,RESOURCE_REQUIREMENT
2025-04-28 20:00:00,2025-04-17 20:42:22,sa-unknown-1,0,LOW,-1,-1,LOW
2025-05-22 20:00:00,2025-04-17 20:43:42,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-19 21:00:00,2025-04-17 21:26:59,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-19 21:00:00,2025-04-17 21:24:00,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-18 01:00:00,2025-04-17 00:09:05,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-18 19:00:00,2025-04-17 19:32:11,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-19 17:00:00,2025-04-17 17:23:41,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-24 20:00:00,2025-04-17 20:59:23,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-21 19:00:00,2025-04-17 19:31:37,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-21 19:00:00,2025-04-17 19:33:49,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-17 17:00:00,2025-04-17 15:08:05,sa-unknown-1,50,HIGH,5,0,LOW
2025-04-17 19:00:00,2025-04-17 17:23:28,sa-unknown-1,50,HIGH,5,0,LOW
2025-04-17 10:00:00,2025-04-17 09:52:14,sa-unknown-1,0,MEDIUM,2,-1,LOW
2025-04-17 12:52:19,2025-04-17 09:52:19,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-17 22:00:00,2025-04-17 20:48:07,sa-unknown-1,0,LOW,-1,-1,LOW
2025-06-03 22:00:00,2025-04-17 22:38:37,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-20 21:00:00,2025-04-17 21:33:37,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-18 23:00:00,2025-04-17 23:31:07,sa-southeast-2,0,MEDIUM,2,-1,HIGH
2025-04-28 22:00:00,2025-04-17 22:23:05,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-17 20:00:00,2025-04-17 15:26:20,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-25 20:00:00,2025-04-17 20:26:20,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-04-18 15:00:00,2025-04-17 15:24:12,sa-southeast-2,15,MEDIUM,2,-1,HIGH
2025-04-23 22:00:00,2025-04-17 22:29:16,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-04-18 19:00:00,2025-04-17 19:31:51,sa-southeast-3,15,MEDIUM,2,-1,MEDIUM
2025-04-22 21:00:00,2025-04-17 21:32:53,sa-southeast-2,0,LOW,-1,-1,HIGH
2025-04-18 20:00:00,2025-04-17 20:14:08,sa-southeast-1,15,MEDIUM,2,-1,HIGH
2025-04-22 22:00:00,2025-04-17 22:37:26,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-18 21:00:00,2025-04-17 21:28:20,sa-southeast-4,0,LOW,-1,-1,MEDIUM
2025-04-18 18:00:00,2025-04-17 18:26:56,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-04-17 16:00:00,2025-04-17 14:59:11,sa-southeast-1,0,MEDIUM,2,-1,HIGH
2025-04-18 19:00:00,2025-04-17 19:56:28,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-04-18 23:00:00,2025-04-17 23:29:41,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-04-22 22:00:00,2025-04-17 22:35:22,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-04-18 19:00:00,2025-04-17 19:55:07,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-26 22:00:00,2025-04-17 22:30:41,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-04-19 21:00:00,2025-04-17 21:20:40,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-04-23 20:00:00,2025-04-17 20:45:34,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-04-17 23:30:00,2025-04-17 00:03:07,sa-southeast-1,0,LOW,-1,-1,HIGH
2025-04-17 13:00:00,2025-04-17 00:03:38,sa-southeast-1,50,HIGH,5,0,HIGH
2025-04-17 15:00:00,2025-04-17 13:43:00,sa-southeast-1,50,HIGH,5,0,HIGH
2025-04-17 17:00:00,2025-04-17 15:10:54,sa-southeast-1,50,HIGH,5,0,HIGH
2025-04-22 20:00:00,2025-04-17 20:28:03,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-20 14:30:00,2025-04-17 20:35:00,sa-unknown-1,0,LOW,-1,-1,LOW
2025-04-18 17:00:00,2025-04-17 20:38:03,sa-unknown-1,50,HIGH,5,0,LOW
2025-04-19 18:00:00,2025-04-17 20:38:36,sa-unknown-1,50,HIGH,5,0,LOW
2025-04-19 21:00:00,2025-04-17 21:36:06,sa-southeast-4,0,LOW,-1,-1,MEDIUM
2025-04-17 21:42:25,2025-04-17 19:42:25,sa-southeast-3,0,LOW,-1,-1,MEDIUM
2025-04-18 23:43:00,2025-04-17 20:43:30,sa-southeast-3,0,LOW,-1,-1,MEDIUM
