DUE_TO,CREATED_DATE,REGION,TIER,PRIORITY,ESTIMATED_DURATION,MAXIMUM_WAITING_TIME,RESOURCE_REQUIREMENT
2024-06-03 16:00:00,2024-05-31 16:56:32,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 18:00:00,2024-05-31 18:45:23,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-31 18:00:00,2024-05-31 17:02:08,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-03 20:00:00,2024-05-31 20:22:05,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-03 19:00:00,2024-05-31 19:26:06,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 15:00:00,2024-05-31 15:44:18,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-06-08 14:00:00,2024-05-31 17:39:12,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-06 17:00:00,2024-05-31 17:39:18,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-05 19:00:00,2024-05-31 17:39:25,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-06-10 15:00:00,2024-05-31 22:25:30,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 16:00:00,2024-05-31 16:19:21,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 12:00:00,2024-05-31 17:38:45,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-06 20:00:00,2024-05-31 17:00:30,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-05 17:00:00,2024-05-31 17:00:47,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-04 17:00:00,2024-05-31 17:01:03,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 12:00:00,2024-05-31 12:10:17,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-05-31 23:03:32,2024-05-31 20:03:32,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 11:00:00,2024-05-31 11:46:59,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-07-05 18:00:00,2024-05-31 18:19:36,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 16:00:00,2024-05-31 16:27:21,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-03 18:00:00,2024-05-31 18:40:31,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-03 20:00:00,2024-05-31 20:06:20,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-02 18:00:00,2024-05-31 18:19:05,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 18:00:00,2024-05-31 18:30:41,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 15:00:00,2024-05-31 13:21:56,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-03 18:00:00,2024-05-31 18:16:34,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 18:00:00,2024-05-31 18:47:04,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-03 16:00:00,2024-05-31 17:00:01,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 19:22:38,2024-05-31 16:22:38,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 18:00:00,2024-05-31 18:32:11,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-02 19:00:00,2024-05-31 19:23:17,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 14:00:00,2024-05-31 23:19:02,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 12:00:00,2024-05-31 23:19:13,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 20:00:00,2024-05-31 17:23:43,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 13:00:00,2024-05-31 13:29:11,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-03 19:00:00,2024-05-31 19:28:00,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 12:00:00,2024-05-31 18:37:57,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 20:21:11,2024-05-31 20:21:11,sa-unknown-1,0,LOW,10,-1,LOW
2024-05-31 23:21:29,2024-05-31 21:21:29,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 23:21:48,2024-05-31 21:21:48,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 00:34:04,2024-05-31 21:34:04,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 22:00:00,2024-05-31 22:30:28,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 11:00:00,2024-05-31 11:27:54,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-25 14:00:00,2024-05-31 14:07:25,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 14:00:00,2024-05-31 14:08:44,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 11:00:00,2024-05-31 11:33:36,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 19:00:00,2024-05-31 19:12:08,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-31 17:00:00,2024-05-31 15:15:01,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-02 19:00:00,2024-05-31 19:39:02,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-03 16:00:00,2024-05-31 16:49:21,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 20:00:00,2024-05-31 20:58:24,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 13:00:00,2024-05-31 13:58:51,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 19:00:00,2024-05-31 19:29:51,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 15:00:00,2024-05-31 15:23:10,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 19:00:00,2024-05-31 19:32:40,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-31 19:00:00,2024-05-31 17:40:42,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-31 17:00:00,2024-05-31 16:12:05,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-31 19:00:00,2024-05-31 17:30:58,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 19:00:00,2024-05-31 19:09:23,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 15:59:00,2024-05-31 15:59:19,sa-unknown-1,30,HIGH,15,0,LOW
2024-06-01 16:00:00,2024-05-31 16:08:55,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 15:00:00,2024-05-31 15:35:16,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 13:00:00,2024-05-31 13:52:08,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 12:00:00,2024-05-31 18:29:48,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 15:00:00,2024-05-31 15:28:29,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-07 13:00:00,2024-05-31 13:04:06,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 12:00:00,2024-05-31 17:41:24,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 17:00:00,2024-05-31 17:18:16,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 15:00:00,2024-05-31 15:12:25,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 19:00:00,2024-05-31 21:54:01,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 12:00:00,2024-05-31 12:11:59,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-06-04 20:00:00,2024-05-31 15:23:02,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-03 15:00:00,2024-05-31 15:23:44,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-04 15:00:00,2024-05-31 15:23:56,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 18:00:00,2024-05-31 18:17:17,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 13:00:00,2024-05-31 13:59:53,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 18:00:00,2024-05-31 18:18:35,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 18:00:00,2024-05-31 18:19:48,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 17:00:00,2024-05-31 17:59:08,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 12:00:00,2024-05-31 12:59:15,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 16:00:00,2024-05-31 16:28:21,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 19:41:08,2024-05-31 17:41:08,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 20:55:21,2024-05-31 17:55:21,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 19:00:00,2024-05-31 19:22:06,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-03 20:00:00,2024-05-31 20:37:40,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 20:00:00,2024-05-31 15:25:33,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 11:00:00,2024-05-31 11:40:52,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 11:00:00,2024-05-31 11:35:22,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-04 18:00:00,2024-05-31 18:52:57,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-03 15:00:00,2024-05-31 15:56:21,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 11:00:00,2024-05-31 11:49:16,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 11:00:00,2024-05-31 11:36:11,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-05 21:30:00,2024-05-31 21:26:24,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-04 21:00:00,2024-05-31 21:26:35,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-05 12:00:00,2024-05-31 21:26:56,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 18:00:00,2024-05-31 21:27:34,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-14 18:00:00,2024-05-31 23:24:41,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-02 20:00:00,2024-05-31 20:18:09,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-02 18:00:00,2024-05-31 18:45:28,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-02 20:00:00,2024-05-31 21:25:00,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-02 21:00:00,2024-05-31 21:28:24,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 17:00:00,2024-05-31 17:57:16,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-02 17:00:00,2024-05-31 15:50:24,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 15:00:00,2024-05-31 15:36:30,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 15:00:00,2024-05-31 15:20:26,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 11:00:00,2024-05-31 11:45:19,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-31 17:00:00,2024-05-31 16:52:11,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-06-02 20:00:00,2024-05-31 18:27:09,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-07 13:00:00,2024-05-31 23:26:41,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-06 18:00:00,2024-05-31 23:30:56,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-31 12:00:00,2024-05-31 23:31:07,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 12:00:00,2024-05-31 23:32:25,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 19:00:00,2024-05-31 22:06:20,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 22:00:00,2024-05-31 22:13:39,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 17:00:00,2024-05-31 15:33:24,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 17:00:00,2024-05-31 21:59:20,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-31 15:57:49,2024-05-31 12:57:49,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 15:00:00,2024-05-31 15:41:41,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-03 14:00:00,2024-05-31 21:09:58,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-03 12:00:00,2024-05-31 21:10:19,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-02 17:00:00,2024-05-31 21:10:33,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 15:00:00,2024-05-31 15:27:14,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-31 20:30:00,2024-05-31 17:05:04,sa-unknown-1,15,HIGH,15,0,LOW
2024-06-03 12:00:00,2024-05-31 12:52:58,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 19:00:00,2024-05-31 22:23:49,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-06-02 21:00:00,2024-05-31 21:26:30,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 17:00:00,2024-05-31 17:24:24,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 23:33:00,2024-05-31 23:33:24,sa-unknown-1,30,HIGH,15,0,LOW
2024-06-01 21:00:00,2024-05-31 23:54:05,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-05-31 18:00:00,2024-05-31 15:22:45,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-10 11:00:00,2024-05-31 11:11:17,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-09 15:00:00,2024-05-31 12:33:49,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-07 16:00:00,2024-05-31 12:34:05,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 20:00:00,2024-05-31 20:20:51,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 18:00:00,2024-05-31 18:34:29,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 18:00:00,2024-05-31 18:37:47,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 16:00:00,2024-05-31 16:30:38,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 17:45:00,2024-05-31 15:20:13,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-31 15:00:00,2024-05-31 13:25:04,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-03 17:00:00,2024-05-31 17:47:17,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 19:00:00,2024-05-31 19:31:20,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 17:00:00,2024-05-31 17:50:56,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 20:00:00,2024-05-31 20:57:39,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-31 20:39:54,2024-05-31 18:39:54,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 20:00:00,2024-05-31 19:35:54,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 13:20:00,2024-05-31 13:20:57,sa-unknown-1,30,HIGH,15,0,LOW
2024-06-08 18:00:00,2024-05-31 13:27:31,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-06 13:00:00,2024-05-31 13:27:39,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-07 19:00:00,2024-05-31 13:27:49,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 20:00:00,2024-05-31 20:32:48,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-02 21:00:00,2024-05-31 21:29:50,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 19:00:00,2024-05-31 21:54:32,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-31 19:59:00,2024-05-31 19:59:29,sa-unknown-1,30,HIGH,15,0,LOW
2024-06-02 19:00:00,2024-05-31 19:40:07,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-08 16:00:00,2024-05-31 15:40:54,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-07 18:00:00,2024-05-31 15:41:18,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-03 15:00:00,2024-05-31 15:41:31,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-06 15:00:00,2024-05-31 15:43:52,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-31 19:59:38,2024-05-31 16:59:38,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-15 17:00:00,2024-05-31 21:14:11,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-14 16:00:00,2024-05-31 21:14:20,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 17:00:00,2024-05-31 21:14:47,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-04 21:00:00,2024-05-31 21:14:57,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 19:00:00,2024-05-31 19:38:21,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-31 19:35:18,2024-05-31 17:35:18,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 20:44:19,2024-05-31 17:44:19,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 12:00:00,2024-05-31 12:34:55,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 11:00:00,2024-05-31 11:50:19,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-31 19:00:00,2024-05-31 15:29:05,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-05 17:00:00,2024-05-31 20:00:51,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-05 12:00:00,2024-05-31 20:01:10,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-04 16:00:00,2024-05-31 20:01:24,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 19:00:00,2024-05-31 19:26:20,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-31 19:06:29,2024-05-31 17:06:29,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 20:00:00,2024-05-31 17:23:53,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 16:00:00,2024-05-31 16:17:12,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 13:00:00,2024-05-31 13:32:50,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-03 20:00:00,2024-05-31 13:38:05,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-03 14:00:00,2024-05-31 13:38:15,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-02 17:00:00,2024-05-31 13:38:22,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 15:00:00,2024-05-31 15:32:46,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 18:00:00,2024-05-31 21:57:54,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 18:00:00,2024-05-31 18:16:08,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 12:00:00,2024-05-31 12:15:18,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-06-01 17:00:00,2024-05-31 18:00:10,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-03 18:00:00,2024-05-31 18:01:09,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-31 23:12:00,2024-05-31 23:12:50,sa-unknown-1,30,HIGH,15,0,LOW
2024-06-03 13:00:00,2024-05-31 23:39:08,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-31 14:00:00,2024-05-31 12:23:41,sa-unknown-1,50,HIGH,5,0,LOW
2024-05-31 15:00:00,2024-05-31 14:10:37,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 12:00:00,2024-05-31 12:36:03,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-03 18:00:00,2024-05-31 15:42:29,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-04 21:00:00,2024-05-31 19:08:18,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-03 17:00:00,2024-05-31 19:08:32,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-04 17:00:00,2024-05-31 19:08:42,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 15:00:00,2024-05-31 15:21:45,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 15:00:00,2024-05-31 15:40:28,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 19:00:00,2024-05-31 22:02:30,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 19:00:00,2024-05-31 19:47:44,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-06-01 13:00:00,2024-05-31 13:47:19,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 14:00:00,2024-05-31 14:47:16,sa-unknown-1,0,MEDIUM,2,-1,LOW
2024-05-31 22:00:00,2024-05-31 18:43:25,sa-unknown-1,15,HIGH,15,0,LOW
2024-06-01 11:00:00,2024-05-31 11:17:21,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 14:00:00,2024-05-31 17:30:56,sa-unknown-1,0,LOW,-1,-1,LOW
2024-06-01 12:00:00,2024-05-31 17:31:56,sa-unknown-1,50,HIGH,5,0,LOW
2024-06-01 15:00:00,2024-05-31 15:35:32,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-05-31 19:38:02,2024-05-31 17:38:02,sa-unknown-1,0,LOW,-1,-1,LOW
2024-05-31 20:51:09,2024-05-31 17:51:09,sa-unknown-1,0,LOW,-1,-1,LOW
