DUE_TO,CREATED_DATE,REGION,TIER,PRIORITY,ESTIMATED_DURATION,MAXIMUM_WAITING_TIME,RESOURCE_REQUIREMENT
2025-01-16 23:00:00,2025-01-13 23:18:02,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 17:00:00,2025-01-13 17:46:12,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-16 15:00:00,2025-01-13 15:57:51,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 20:00:00,2025-01-13 20:44:04,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-01-13 23:00:00,2025-01-13 22:23:06,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-13 15:00:00,2025-01-13 11:09:40,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-01-20 14:00:00,2025-01-13 14:56:42,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-15 23:00:00,2025-01-13 23:15:40,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-16 14:00:00,2025-01-13 14:58:12,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-13 18:00:00,2025-01-13 11:23:39,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-01-14 20:00:00,2025-01-13 20:46:16,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-01-14 14:00:00,2025-01-13 14:36:57,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-13 14:00:00,2025-01-13 12:57:56,sa-unknown-1,50,HIGH,5,0,LOW
2025-01-15 23:00:00,2025-01-13 23:11:04,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 19:00:00,2025-01-13 19:53:36,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-16 12:00:00,2025-01-13 09:40:58,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-13 22:00:00,2025-01-13 21:50:07,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 21:00:00,2025-01-13 21:50:18,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-13 23:00:00,2025-01-13 21:00:50,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 21:00:00,2025-01-13 21:01:02,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-13 19:41:09,2025-01-13 17:41:09,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-13 21:45:54,2025-01-13 18:45:54,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-15 19:00:00,2025-01-13 19:33:40,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-01-13 23:00:00,2025-01-13 22:22:47,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 15:00:00,2025-01-13 23:59:33,sa-unknown-1,15,HIGH,15,0,LOW
2025-01-14 19:00:00,2025-01-13 19:27:44,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-13 22:00:00,2025-01-13 19:27:54,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-13 18:00:00,2025-01-13 16:14:07,sa-unknown-1,50,HIGH,5,0,LOW
2025-01-13 21:00:00,2025-01-13 19:11:59,sa-unknown-1,50,HIGH,5,0,LOW
2025-01-13 17:00:00,2025-01-13 10:41:49,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-01-14 21:00:00,2025-01-13 21:37:22,sa-unknown-1,0,MEDIUM,2,-1,LOW
2025-01-16 14:00:00,2025-01-13 14:59:14,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 19:00:00,2025-01-13 19:23:57,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-13 23:00:00,2025-01-13 19:24:09,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-16 18:00:20,2025-01-13 23:26:56,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-15 18:00:00,2025-01-13 23:31:01,sa-unknown-1,50,HIGH,5,0,LOW
2025-01-16 14:00:00,2025-01-13 23:31:22,sa-unknown-1,50,HIGH,5,0,LOW
2025-01-14 19:00:00,2025-01-13 19:36:40,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-01-13 14:00:00,2025-01-13 13:21:05,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-13 23:00:00,2025-01-13 22:21:30,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 14:00:00,2025-01-13 14:19:17,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-15 11:00:00,2025-01-13 11:05:48,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-13 16:31:00,2025-01-13 13:31:23,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 18:00:00,2025-01-13 18:26:47,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-01-13 21:34:09,2025-01-13 19:34:09,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 21:00:00,2025-01-13 21:37:43,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-01-16 18:00:00,2025-01-13 18:21:49,sa-unknown-1,0,MEDIUM,2,-1,LOW
2025-01-14 19:00:00,2025-01-13 19:05:50,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-01-14 19:00:00,2025-01-13 19:29:28,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-13 23:00:00,2025-01-13 19:29:34,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-16 17:00:45,2025-01-13 20:04:58,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-15 16:00:00,2025-01-13 20:05:08,sa-unknown-1,50,HIGH,5,0,LOW
2025-01-16 12:00:00,2025-01-13 20:05:19,sa-unknown-1,50,HIGH,5,0,LOW
2025-01-14 20:00:00,2025-01-13 20:01:08,sa-unknown-1,0,MEDIUM,2,-1,LOW
2025-01-14 18:00:00,2025-01-13 18:11:40,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-01-18 18:30:00,2025-01-13 11:06:45,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-17 15:00:00,2025-01-13 11:07:29,sa-unknown-1,50,HIGH,5,0,LOW
2025-01-14 21:00:00,2025-01-13 21:02:44,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 13:00:00,2025-01-13 13:53:00,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-13 23:00:00,2025-01-13 22:23:55,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 15:00:00,2025-01-13 15:13:11,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 14:00:00,2025-01-13 14:54:35,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-13 20:23:28,2025-01-13 17:23:28,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 18:00:00,2025-01-13 18:38:53,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 19:00:00,2025-01-13 19:03:43,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-01-14 21:00:00,2025-01-13 21:42:05,sa-unknown-1,0,MEDIUM,2,-1,LOW
2025-01-13 14:30:00,2025-01-13 12:59:47,sa-unknown-1,50,HIGH,5,0,LOW
2025-01-14 19:00:00,2025-01-13 19:48:40,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 22:00:00,2025-01-13 22:27:49,sa-unknown-1,0,LOW,-1,-1,LOW
2025-01-14 18:00:00,2025-01-13 18:15:18,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-01-14 15:00:00,2025-01-13 15:10:07,sa-unknown-1,15,MEDIUM,2,-1,LOW
2025-01-14 20:00:00,2025-01-13 20:53:21,sa-unknown-1,15,MEDIUM,2,-1,LOW
